Geographic Area Name,County,State,Year,Owner-occupied housing units with a mortgage!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS ( INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars),Owner-occupied housing units with a mortgage!!Estimate!!MONTHLY HOUSING COSTS!!Median (dollars),( INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars) per month,% of monthly Household Income Spent on Housing Cost
"Rowan County, North Carolina",Rowan County, North Carolina,2012,"$62,417.00 ","$1,105.00 ","$5,201.42 ",21%
"Anson County, North Carolina",Anson County, North Carolina,2018,"$62,434.00 ",$987.00 ,"$5,202.83 ",19%
"Onslow County, North Carolina",Onslow County, North Carolina,2010,"$62,440.00 ","$1,202.00 ","$5,203.33 ",23%
"Wayne County, North Carolina",Wayne County, North Carolina,2012,"$62,460.00 ","$1,130.00 ","$5,205.00 ",22%
"Greenwood County, South Carolina",Greenwood County, South Carolina,2011,"$62,463.00 ",$990.00 ,"$5,205.25 ",19%
"Chowan County, North Carolina",Chowan County, North Carolina,2010,"$62,472.00 ","$1,194.00 ","$5,206.00 ",23%
"Onslow County, North Carolina",Onslow County, North Carolina,2011,"$62,488.00 ","$1,260.00 ","$5,207.33 ",24%
"Wayne County, North Carolina",Wayne County, North Carolina,2011,"$62,490.00 ","$1,125.00 ","$5,207.50 ",22%
"Georgetown County, South Carolina",Georgetown County, South Carolina,2016,"$62,500.00 ","$1,300.00 ","$5,208.33 ",25%
"Brunswick County, North Carolina",Brunswick County, North Carolina,2012,"$62,503.00 ","$1,319.00 ","$5,208.58 ",25%
"Polk County, North Carolina",Polk County, North Carolina,2017,"$62,522.00 ","$1,217.00 ","$5,210.17 ",23%
"Anderson County, South Carolina",Anderson County, South Carolina,2011,"$62,530.00 ","$1,069.00 ","$5,210.83 ",21%
"Yadkin County, North Carolina",Yadkin County, North Carolina,2017,"$62,572.00 ","$1,021.00 ","$5,214.33 ",20%
"Calhoun County, South Carolina",Calhoun County, South Carolina,2012,"$62,637.00 ","$1,023.00 ","$5,219.75 ",20%
"Montgomery County, North Carolina",Montgomery County, North Carolina,2017,"$62,667.00 ","$1,025.00 ","$5,222.25 ",20%
"Greenwood County, South Carolina",Greenwood County, South Carolina,2016,"$62,672.00 ",$990.00 ,"$5,222.67 ",19%
"Catawba County, North Carolina",Catawba County, North Carolina,2010,"$62,675.00 ","$1,056.00 ","$5,222.92 ",20%
"Oconee County, South Carolina",Oconee County, South Carolina,2015,"$62,678.00 ","$1,109.00 ","$5,223.17 ",21%
"Beaufort County, North Carolina",Beaufort County, North Carolina,2015,"$62,680.00 ","$1,168.00 ","$5,223.33 ",22%
"Halifax County, North Carolina",Halifax County, North Carolina,2017,"$62,703.00 ","$1,040.00 ","$5,225.25 ",20%
"Pasquotank County, North Carolina",Pasquotank County, North Carolina,2010,"$62,719.00 ","$1,359.00 ","$5,226.58 ",26%
"Anderson County, South Carolina",Anderson County, South Carolina,2012,"$62,725.00 ","$1,070.00 ","$5,227.08 ",20%
"Florence County, South Carolina",Florence County, South Carolina,2010,"$62,728.00 ","$1,043.00 ","$5,227.33 ",20%
"Wilson County, North Carolina",Wilson County, North Carolina,2011,"$62,750.00 ","$1,220.00 ","$5,229.17 ",23%
"Randolph County, North Carolina",Randolph County, North Carolina,2016,"$62,759.00 ","$1,012.00 ","$5,229.92 ",19%
"Washington County, North Carolina",Washington County, North Carolina,2017,"$62,764.00 ","$1,064.00 ","$5,230.33 ",20%
"Lenoir County, North Carolina",Lenoir County, North Carolina,2018,"$62,792.00 ","$1,125.00 ","$5,232.67 ",21%
"McCormick County, South Carolina",McCormick County, South Carolina,2016,"$62,848.00 ",$998.00 ,"$5,237.33 ",19%
"Chowan County, North Carolina",Chowan County, North Carolina,2016,"$62,885.00 ","$1,239.00 ","$5,240.42 ",24%
"Stanly County, North Carolina",Stanly County, North Carolina,2015,"$62,909.00 ","$1,137.00 ","$5,242.42 ",22%
"Gaston County, North Carolina",Gaston County, North Carolina,2010,"$62,913.00 ","$1,162.00 ","$5,242.75 ",22%
"Davidson County, North Carolina",Davidson County, North Carolina,2015,"$62,924.00 ","$1,085.00 ","$5,243.67 ",21%
"Beaufort County, North Carolina",Beaufort County, North Carolina,2011,"$62,931.00 ","$1,165.00 ","$5,244.25 ",22%
"Pickens County, South Carolina",Pickens County, South Carolina,2010,"$62,945.00 ","$1,052.00 ","$5,245.42 ",20%
"Onslow County, North Carolina",Onslow County, North Carolina,2013,"$62,963.00 ","$1,262.00 ","$5,246.92 ",24%
"Washington County, North Carolina",Washington County, North Carolina,2018,"$62,972.00 ","$1,106.00 ","$5,247.67 ",21%
"Lancaster County, South Carolina",Lancaster County, South Carolina,2015,"$62,991.00 ","$1,117.00 ","$5,249.25 ",21%
"Haywood County, North Carolina",Haywood County, North Carolina,2011,"$63,011.00 ","$1,128.00 ","$5,250.92 ",21%
"Greene County, North Carolina",Greene County, North Carolina,2018,"$63,018.00 ","$1,045.00 ","$5,251.50 ",20%
"Oconee County, South Carolina",Oconee County, South Carolina,2010,"$63,030.00 ","$1,072.00 ","$5,252.50 ",20%
"Madison County, North Carolina",Madison County, North Carolina,2018,"$63,036.00 ","$1,306.00 ","$5,253.00 ",25%
"Swain County, North Carolina",Swain County, North Carolina,2012,"$63,054.00 ",$988.00 ,"$5,254.50 ",19%
"Wayne County, North Carolina",Wayne County, North Carolina,2014,"$63,056.00 ","$1,099.00 ","$5,254.67 ",21%
"Horry County, South Carolina",Horry County, South Carolina,2017,"$63,057.00 ","$1,216.00 ","$5,254.75 ",23%
"Franklin County, North Carolina",Franklin County, North Carolina,2015,"$63,092.00 ","$1,159.00 ","$5,257.67 ",22%
"Davidson County, North Carolina",Davidson County, North Carolina,2011,"$63,096.00 ","$1,153.00 ","$5,258.00 ",22%
"Calhoun County, South Carolina",Calhoun County, South Carolina,2014,"$63,097.00 ","$1,003.00 ","$5,258.08 ",19%
"Alexander County, North Carolina",Alexander County, North Carolina,2015,"$63,155.00 ",$935.00 ,"$5,262.92 ",18%
"Alamance County, North Carolina",Alamance County, North Carolina,2010,"$63,166.00 ","$1,176.00 ","$5,263.83 ",22%
"Wilson County, North Carolina",Wilson County, North Carolina,2015,"$63,188.00 ","$1,182.00 ","$5,265.67 ",22%
"Kershaw County, South Carolina",Kershaw County, South Carolina,2017,"$63,203.00 ","$1,093.00 ","$5,266.92 ",21%
"Onslow County, North Carolina",Onslow County, North Carolina,2014,"$63,238.00 ","$1,256.00 ","$5,269.83 ",24%
"Saluda County, South Carolina",Saluda County, South Carolina,2018,"$63,257.00 ","$1,146.00 ","$5,271.42 ",22%
"Kershaw County, South Carolina",Kershaw County, South Carolina,2016,"$63,260.00 ","$1,099.00 ","$5,271.67 ",21%
"Greenwood County, South Carolina",Greenwood County, South Carolina,2015,"$63,333.00 ",$983.00 ,"$5,277.75 ",19%
"Beaufort County, North Carolina",Beaufort County, North Carolina,2013,"$63,339.00 ","$1,202.00 ","$5,278.25 ",23%
"Franklin County, North Carolina",Franklin County, North Carolina,2014,"$63,367.00 ","$1,190.00 ","$5,280.58 ",23%
"Rowan County, North Carolina",Rowan County, North Carolina,2010,"$63,378.00 ","$1,089.00 ","$5,281.50 ",21%
"Beaufort County, North Carolina",Beaufort County, North Carolina,2016,"$63,380.00 ","$1,190.00 ","$5,281.67 ",23%
"Onslow County, North Carolina",Onslow County, North Carolina,2012,"$63,384.00 ","$1,274.00 ","$5,282.00 ",24%
"Macon County, North Carolina",Macon County, North Carolina,2018,"$63,409.00 ","$1,055.00 ","$5,284.08 ",20%
"Harnett County, North Carolina",Harnett County, North Carolina,2010,"$63,437.00 ","$1,177.00 ","$5,286.42 ",22%
"Henderson County, North Carolina",Henderson County, North Carolina,2015,"$63,444.00 ","$1,173.00 ","$5,287.00 ",22%
"Florence County, South Carolina",Florence County, South Carolina,2011,"$63,446.00 ","$1,053.00 ","$5,287.17 ",20%
"Pamlico County, North Carolina",Pamlico County, North Carolina,2016,"$63,448.00 ","$1,134.00 ","$5,287.33 ",21%
"Sumter County, South Carolina",Sumter County, South Carolina,2017,"$63,459.00 ","$1,052.00 ","$5,288.25 ",20%
"Carteret County, North Carolina",Carteret County, North Carolina,2010,"$63,478.00 ","$1,293.00 ","$5,289.83 ",24%
"Beaufort County, North Carolina",Beaufort County, North Carolina,2012,"$63,489.00 ","$1,171.00 ","$5,290.75 ",22%
"Henderson County, North Carolina",Henderson County, North Carolina,2013,"$63,559.00 ","$1,209.00 ","$5,296.58 ",23%
"Laurens County, South Carolina",Laurens County, South Carolina,2018,"$63,559.00 ","$1,022.00 ","$5,296.58 ",19%
"Catawba County, North Carolina",Catawba County, North Carolina,2011,"$63,564.00 ","$1,067.00 ","$5,297.00 ",20%
"Person County, North Carolina",Person County, North Carolina,2012,"$63,594.00 ","$1,127.00 ","$5,299.50 ",21%
"Rowan County, North Carolina",Rowan County, North Carolina,2015,"$63,599.00 ","$1,057.00 ","$5,299.92 ",20%
"Burke County, North Carolina",Burke County, North Carolina,2018,"$63,603.00 ","$1,021.00 ","$5,300.25 ",19%
"Henderson County, North Carolina",Henderson County, North Carolina,2014,"$63,621.00 ","$1,200.00 ","$5,301.75 ",23%
"Greenwood County, South Carolina",Greenwood County, South Carolina,2013,"$63,622.00 ","$1,014.00 ","$5,301.83 ",19%
"Davidson County, North Carolina",Davidson County, North Carolina,2012,"$63,630.00 ","$1,154.00 ","$5,302.50 ",22%
"Gaston County, North Carolina",Gaston County, North Carolina,2011,"$63,643.00 ","$1,183.00 ","$5,303.58 ",22%
"Hampton County, South Carolina",Hampton County, South Carolina,2017,"$63,643.00 ","$1,014.00 ","$5,303.58 ",19%
"Harnett County, North Carolina",Harnett County, North Carolina,2011,"$63,662.00 ","$1,212.00 ","$5,305.17 ",23%
"Alexander County, North Carolina",Alexander County, North Carolina,2016,"$63,667.00 ",$946.00 ,"$5,305.58 ",18%
"Newberry County, South Carolina",Newberry County, South Carolina,2016,"$63,680.00 ","$1,039.00 ","$5,306.67 ",20%
"Brunswick County, North Carolina",Brunswick County, North Carolina,2015,"$63,691.00 ","$1,305.00 ","$5,307.58 ",25%
"Rowan County, North Carolina",Rowan County, North Carolina,2011,"$63,720.00 ","$1,105.00 ","$5,310.00 ",21%
"Jackson County, North Carolina",Jackson County, North Carolina,2016,"$63,733.00 ","$1,126.00 ","$5,311.08 ",21%
"Buncombe County, North Carolina",Buncombe County, North Carolina,2011,"$63,773.00 ","$1,281.00 ","$5,314.42 ",24%
"Montgomery County, North Carolina",Montgomery County, North Carolina,2018,"$63,830.00 ",$988.00 ,"$5,319.17 ",19%
"Lee County, North Carolina",Lee County, North Carolina,2010,"$63,832.00 ","$1,133.00 ","$5,319.33 ",21%
"Cleveland County, North Carolina",Cleveland County, North Carolina,2018,"$63,845.00 ","$1,062.00 ","$5,320.42 ",20%
"Calhoun County, South Carolina",Calhoun County, South Carolina,2018,"$63,869.00 ","$1,235.00 ","$5,322.42 ",23%
"Oconee County, South Carolina",Oconee County, South Carolina,2011,"$63,869.00 ","$1,086.00 ","$5,322.42 ",20%
"Gaston County, North Carolina",Gaston County, North Carolina,2012,"$63,875.00 ","$1,174.00 ","$5,322.92 ",22%
"Catawba County, North Carolina",Catawba County, North Carolina,2012,"$63,890.00 ","$1,098.00 ","$5,324.17 ",21%
"Cumberland County, North Carolina",Cumberland County, North Carolina,2010,"$63,904.00 ","$1,192.00 ","$5,325.33 ",22%
"Oconee County, South Carolina",Oconee County, South Carolina,2012,"$63,908.00 ","$1,104.00 ","$5,325.67 ",21%
"Onslow County, North Carolina",Onslow County, North Carolina,2016,"$63,919.00 ","$1,238.00 ","$5,326.58 ",23%
"Spartanburg County, South Carolina",Spartanburg County, South Carolina,2013,"$63,961.00 ","$1,108.00 ","$5,330.08 ",21%
"Davidson County, North Carolina",Davidson County, North Carolina,2016,"$63,968.00 ","$1,068.00 ","$5,330.67 ",20%
"Nash County, North Carolina",Nash County, North Carolina,2015,"$64,005.00 ","$1,157.00 ","$5,333.75 ",22%
"Wayne County, North Carolina",Wayne County, North Carolina,2015,"$64,012.00 ","$1,102.00 ","$5,334.33 ",21%
"Transylvania County, North Carolina",Transylvania County, North Carolina,2016,"$64,035.00 ","$1,156.00 ","$5,336.25 ",22%
"Hampton County, South Carolina",Hampton County, South Carolina,2018,"$64,052.00 ","$1,032.00 ","$5,337.67 ",19%
"Anderson County, South Carolina",Anderson County, South Carolina,2013,"$64,074.00 ","$1,096.00 ","$5,339.50 ",21%
"Granville County, North Carolina",Granville County, North Carolina,2010,"$64,109.00 ","$1,157.00 ","$5,342.42 ",22%
"Stanly County, North Carolina",Stanly County, North Carolina,2010,"$64,125.00 ","$1,123.00 ","$5,343.75 ",21%
"Harnett County, North Carolina",Harnett County, North Carolina,2014,"$64,151.00 ","$1,226.00 ","$5,345.92 ",23%
"Hyde County, North Carolina",Hyde County, North Carolina,2015,"$64,217.00 ",$962.00 ,"$5,351.42 ",18%
"McCormick County, South Carolina",McCormick County, South Carolina,2017,"$64,259.00 ","$1,007.00 ","$5,354.92 ",19%
"Hyde County, North Carolina",Hyde County, North Carolina,2017,"$64,306.00 ","$1,062.00 ","$5,358.83 ",20%
"Buncombe County, North Carolina",Buncombe County, North Carolina,2012,"$64,336.00 ","$1,293.00 ","$5,361.33 ",24%
"Duplin County, North Carolina",Duplin County, North Carolina,2018,"$64,369.00 ","$1,109.00 ","$5,364.08 ",21%
"Catawba County, North Carolina",Catawba County, North Carolina,2013,"$64,406.00 ","$1,096.00 ","$5,367.17 ",20%
"Randolph County, North Carolina",Randolph County, North Carolina,2017,"$64,409.00 ","$1,034.00 ","$5,367.42 ",19%
"Darlington County, South Carolina",Darlington County, South Carolina,2018,"$64,418.00 ",$992.00 ,"$5,368.17 ",18%
"Henderson County, North Carolina",Henderson County, North Carolina,2010,"$64,429.00 ","$1,196.00 ","$5,369.08 ",22%
"Rockingham County, North Carolina",Rockingham County, North Carolina,2018,"$64,444.00 ","$1,022.00 ","$5,370.33 ",19%
"Haywood County, North Carolina",Haywood County, North Carolina,2015,"$64,461.00 ","$1,158.00 ","$5,371.75 ",22%
"Polk County, North Carolina",Polk County, North Carolina,2016,"$64,476.00 ","$1,249.00 ","$5,373.00 ",23%
"Spartanburg County, South Carolina",Spartanburg County, South Carolina,2012,"$64,476.00 ","$1,121.00 ","$5,373.00 ",21%
"Watauga County, North Carolina",Watauga County, North Carolina,2010,"$64,504.00 ","$1,232.00 ","$5,375.33 ",23%
"Anderson County, South Carolina",Anderson County, South Carolina,2014,"$64,533.00 ","$1,112.00 ","$5,377.75 ",21%
"Perquimans County, North Carolina",Perquimans County, North Carolina,2017,"$64,545.00 ","$1,239.00 ","$5,378.75 ",23%
"Greenwood County, South Carolina",Greenwood County, South Carolina,2014,"$64,552.00 ","$1,005.00 ","$5,379.33 ",19%
"Franklin County, North Carolina",Franklin County, North Carolina,2016,"$64,558.00 ","$1,159.00 ","$5,379.83 ",22%
"Catawba County, North Carolina",Catawba County, North Carolina,2014,"$64,582.00 ","$1,102.00 ","$5,381.83 ",20%
"Henderson County, North Carolina",Henderson County, North Carolina,2016,"$64,588.00 ","$1,163.00 ","$5,382.33 ",22%
"Henderson County, North Carolina",Henderson County, North Carolina,2012,"$64,604.00 ","$1,243.00 ","$5,383.67 ",23%
"Calhoun County, South Carolina",Calhoun County, South Carolina,2015,"$64,615.00 ","$1,042.00 ","$5,384.58 ",19%
"Newberry County, South Carolina",Newberry County, South Carolina,2012,"$64,643.00 ","$1,049.00 ","$5,386.92 ",19%
"Haywood County, North Carolina",Haywood County, North Carolina,2016,"$64,651.00 ","$1,164.00 ","$5,387.58 ",22%
"Halifax County, North Carolina",Halifax County, North Carolina,2018,"$64,674.00 ","$1,066.00 ","$5,389.50 ",20%
"Onslow County, North Carolina",Onslow County, North Carolina,2017,"$64,694.00 ","$1,256.00 ","$5,391.17 ",23%
"Stokes County, North Carolina",Stokes County, North Carolina,2018,"$64,699.00 ","$1,070.00 ","$5,391.58 ",20%
"Alamance County, North Carolina",Alamance County, North Carolina,2011,"$64,713.00 ","$1,209.00 ","$5,392.75 ",22%
"Calhoun County, South Carolina",Calhoun County, South Carolina,2013,"$64,776.00 ","$1,006.00 ","$5,398.00 ",19%
"Pender County, North Carolina",Pender County, North Carolina,2015,"$64,792.00 ","$1,223.00 ","$5,399.33 ",23%
"Gates County, North Carolina",Gates County, North Carolina,2013,"$64,833.00 ","$1,314.00 ","$5,402.75 ",24%
"Pickens County, South Carolina",Pickens County, South Carolina,2012,"$64,837.00 ","$1,062.00 ","$5,403.08 ",20%
"Person County, North Carolina",Person County, North Carolina,2017,"$64,840.00 ","$1,091.00 ","$5,403.33 ",20%
"Horry County, South Carolina",Horry County, South Carolina,2018,"$64,864.00 ","$1,229.00 ","$5,405.33 ",23%
"Harnett County, North Carolina",Harnett County, North Carolina,2015,"$64,887.00 ","$1,208.00 ","$5,407.25 ",22%
"Yancey County, North Carolina",Yancey County, North Carolina,2018,"$64,909.00 ",$973.00 ,"$5,409.08 ",18%
"Florence County, South Carolina",Florence County, South Carolina,2013,"$64,929.00 ","$1,076.00 ","$5,410.75 ",20%
"Harnett County, North Carolina",Harnett County, North Carolina,2012,"$64,936.00 ","$1,222.00 ","$5,411.33 ",23%
"Catawba County, North Carolina",Catawba County, North Carolina,2015,"$64,950.00 ","$1,069.00 ","$5,412.50 ",20%
"Rowan County, North Carolina",Rowan County, North Carolina,2016,"$64,954.00 ","$1,054.00 ","$5,412.83 ",19%
"Stanly County, North Carolina",Stanly County, North Carolina,2016,"$64,988.00 ","$1,116.00 ","$5,415.67 ",21%
"Cumberland County, North Carolina",Cumberland County, North Carolina,2016,"$64,996.00 ","$1,175.00 ","$5,416.33 ",22%
"Pender County, North Carolina",Pender County, North Carolina,2014,"$65,000.00 ","$1,266.00 ","$5,416.67 ",23%
"Barnwell County, South Carolina",Barnwell County, South Carolina,2016,"$65,033.00 ",$986.00 ,"$5,419.42 ",18%
"Hoke County, North Carolina",Hoke County, North Carolina,2018,"$65,047.00 ","$1,201.00 ","$5,420.58 ",22%
"Nash County, North Carolina",Nash County, North Carolina,2013,"$65,052.00 ","$1,205.00 ","$5,421.00 ",22%
"Hyde County, North Carolina",Hyde County, North Carolina,2016,"$65,114.00 ",$975.00 ,"$5,426.17 ",18%
"Jones County, North Carolina",Jones County, North Carolina,2018,"$65,120.00 ","$1,071.00 ","$5,426.67 ",20%
"Gates County, North Carolina",Gates County, North Carolina,2012,"$65,156.00 ","$1,294.00 ","$5,429.67 ",24%
"Barnwell County, South Carolina",Barnwell County, South Carolina,2017,"$65,192.00 ","$1,083.00 ","$5,432.67 ",20%
"Wayne County, North Carolina",Wayne County, North Carolina,2013,"$65,193.00 ","$1,135.00 ","$5,432.75 ",21%
"Oconee County, South Carolina",Oconee County, South Carolina,2016,"$65,200.00 ","$1,141.00 ","$5,433.33 ",21%
"Sumter County, South Carolina",Sumter County, South Carolina,2018,"$65,215.00 ","$1,062.00 ","$5,434.58 ",20%
"Pender County, North Carolina",Pender County, North Carolina,2013,"$65,220.00 ","$1,277.00 ","$5,435.00 ",23%
"Wilson County, North Carolina",Wilson County, North Carolina,2016,"$65,250.00 ","$1,173.00 ","$5,437.50 ",22%
"Spartanburg County, South Carolina",Spartanburg County, South Carolina,2011,"$65,304.00 ","$1,116.00 ","$5,442.00 ",21%
"Ashe County, North Carolina",Ashe County, North Carolina,2018,"$65,313.00 ","$1,067.00 ","$5,442.75 ",20%
"Lee County, North Carolina",Lee County, North Carolina,2011,"$65,328.00 ","$1,156.00 ","$5,444.00 ",21%
"Aiken County, South Carolina",Aiken County, South Carolina,2011,"$65,369.00 ","$1,084.00 ","$5,447.42 ",20%
"Cumberland County, North Carolina",Cumberland County, North Carolina,2013,"$65,408.00 ","$1,215.00 ","$5,450.67 ",22%
"Onslow County, North Carolina",Onslow County, North Carolina,2018,"$65,445.00 ","$1,257.00 ","$5,453.75 ",23%
"Brunswick County, North Carolina",Brunswick County, North Carolina,2016,"$65,452.00 ","$1,321.00 ","$5,454.33 ",24%
"Wayne County, North Carolina",Wayne County, North Carolina,2016,"$65,456.00 ","$1,078.00 ","$5,454.67 ",20%
"Person County, North Carolina",Person County, North Carolina,2010,"$65,475.00 ","$1,070.00 ","$5,456.25 ",20%
"Cumberland County, North Carolina",Cumberland County, North Carolina,2015,"$65,519.00 ","$1,189.00 ","$5,459.92 ",22%
"Perquimans County, North Carolina",Perquimans County, North Carolina,2016,"$65,565.00 ","$1,303.00 ","$5,463.75 ",24%
"Pickens County, South Carolina",Pickens County, South Carolina,2011,"$65,567.00 ","$1,071.00 ","$5,463.92 ",20%
"Nash County, North Carolina",Nash County, North Carolina,2016,"$65,568.00 ","$1,164.00 ","$5,464.00 ",21%
"Stanly County, North Carolina",Stanly County, North Carolina,2013,"$65,579.00 ","$1,153.00 ","$5,464.92 ",21%
"Cumberland County, North Carolina",Cumberland County, North Carolina,2014,"$65,581.00 ","$1,212.00 ","$5,465.08 ",22%
"Newberry County, South Carolina",Newberry County, South Carolina,2018,"$65,587.00 ","$1,099.00 ","$5,465.58 ",20%
"McDowell County, North Carolina",McDowell County, North Carolina,2018,"$65,594.00 ",$971.00 ,"$5,466.17 ",18%
"Spartanburg County, South Carolina",Spartanburg County, South Carolina,2014,"$65,620.00 ","$1,105.00 ","$5,468.33 ",20%
"Gaston County, North Carolina",Gaston County, North Carolina,2013,"$65,621.00 ","$1,179.00 ","$5,468.42 ",22%
"Craven County, North Carolina",Craven County, North Carolina,2016,"$65,649.00 ","$1,245.00 ","$5,470.75 ",23%
"Buncombe County, North Carolina",Buncombe County, North Carolina,2013,"$65,688.00 ","$1,306.00 ","$5,474.00 ",24%
"Craven County, North Carolina",Craven County, North Carolina,2014,"$65,723.00 ","$1,288.00 ","$5,476.92 ",24%
"Cumberland County, North Carolina",Cumberland County, North Carolina,2012,"$65,736.00 ","$1,219.00 ","$5,478.00 ",22%
"Florence County, South Carolina",Florence County, South Carolina,2015,"$65,816.00 ","$1,089.00 ","$5,484.67 ",20%
"Stanly County, North Carolina",Stanly County, North Carolina,2012,"$65,870.00 ","$1,138.00 ","$5,489.17 ",21%
"Greenwood County, South Carolina",Greenwood County, South Carolina,2017,"$65,896.00 ",$987.00 ,"$5,491.33 ",18%
"Beaufort County, North Carolina",Beaufort County, North Carolina,2017,"$65,902.00 ","$1,219.00 ","$5,491.83 ",22%
"Craven County, North Carolina",Craven County, North Carolina,2010,"$65,924.00 ","$1,272.00 ","$5,493.67 ",23%
"Stanly County, North Carolina",Stanly County, North Carolina,2011,"$65,937.00 ","$1,154.00 ","$5,494.75 ",21%
"Polk County, North Carolina",Polk County, North Carolina,2018,"$66,000.00 ","$1,259.00 ","$5,500.00 ",23%
"Carteret County, North Carolina",Carteret County, North Carolina,2013,"$66,013.00 ","$1,313.00 ","$5,501.08 ",24%
"Pasquotank County, North Carolina",Pasquotank County, North Carolina,2012,"$66,029.00 ","$1,492.00 ","$5,502.42 ",27%
"Alamance County, North Carolina",Alamance County, North Carolina,2012,"$66,051.00 ","$1,198.00 ","$5,504.25 ",22%
"Davidson County, North Carolina",Davidson County, North Carolina,2017,"$66,055.00 ","$1,078.00 ","$5,504.58 ",20%
"Anderson County, South Carolina",Anderson County, South Carolina,2015,"$66,099.00 ","$1,095.00 ","$5,508.25 ",20%
"Newberry County, South Carolina",Newberry County, South Carolina,2014,"$66,103.00 ","$1,078.00 ","$5,508.58 ",20%
"Dare County, North Carolina",Dare County, North Carolina,2010,"$66,130.00 ","$1,668.00 ","$5,510.83 ",30%
"Yadkin County, North Carolina",Yadkin County, North Carolina,2018,"$66,168.00 ","$1,019.00 ","$5,514.00 ",18%
"Craven County, North Carolina",Craven County, North Carolina,2013,"$66,202.00 ","$1,284.00 ","$5,516.83 ",23%
"Lincoln County, North Carolina",Lincoln County, North Carolina,2010,"$66,206.00 ","$1,155.00 ","$5,517.17 ",21%
"Surry County, North Carolina",Surry County, North Carolina,2018,"$66,270.00 ","$1,042.00 ","$5,522.50 ",19%
"Pickens County, South Carolina",Pickens County, South Carolina,2013,"$66,304.00 ","$1,086.00 ","$5,525.33 ",20%
"Caswell County, North Carolina",Caswell County, North Carolina,2018,"$66,328.00 ","$1,064.00 ","$5,527.33 ",19%
"Nash County, North Carolina",Nash County, North Carolina,2012,"$66,340.00 ","$1,199.00 ","$5,528.33 ",22%
"Gaston County, North Carolina",Gaston County, North Carolina,2014,"$66,364.00 ","$1,176.00 ","$5,530.33 ",21%
"Nash County, North Carolina",Nash County, North Carolina,2014,"$66,371.00 ","$1,192.00 ","$5,530.92 ",22%
"Berkeley County, South Carolina",Berkeley County, South Carolina,2010,"$66,386.00 ","$1,254.00 ","$5,532.17 ",23%
"Aiken County, South Carolina",Aiken County, South Carolina,2012,"$66,393.00 ","$1,106.00 ","$5,532.75 ",20%
"Granville County, North Carolina",Granville County, North Carolina,2011,"$66,408.00 ","$1,220.00 ","$5,534.00 ",22%
"Newberry County, South Carolina",Newberry County, South Carolina,2011,"$66,424.00 ","$1,033.00 ","$5,535.33 ",19%
"Transylvania County, North Carolina",Transylvania County, North Carolina,2017,"$66,452.00 ","$1,167.00 ","$5,537.67 ",21%
"Newberry County, South Carolina",Newberry County, South Carolina,2013,"$66,497.00 ","$1,090.00 ","$5,541.42 ",20%
"Harnett County, North Carolina",Harnett County, North Carolina,2013,"$66,538.00 ","$1,228.00 ","$5,544.83 ",22%
"Cumberland County, North Carolina",Cumberland County, North Carolina,2011,"$66,556.00 ","$1,230.00 ","$5,546.33 ",22%
"Aiken County, South Carolina",Aiken County, South Carolina,2010,"$66,580.00 ","$1,055.00 ","$5,548.33 ",19%
"Craven County, North Carolina",Craven County, North Carolina,2015,"$66,606.00 ","$1,272.00 ","$5,550.50 ",23%
"Pickens County, South Carolina",Pickens County, South Carolina,2014,"$66,639.00 ","$1,074.00 ","$5,553.25 ",19%
"Florence County, South Carolina",Florence County, South Carolina,2014,"$66,766.00 ","$1,097.00 ","$5,563.83 ",20%
"Pamlico County, North Carolina",Pamlico County, North Carolina,2018,"$66,776.00 ","$1,176.00 ","$5,564.67 ",21%
"Florence County, South Carolina",Florence County, South Carolina,2016,"$66,814.00 ","$1,089.00 ","$5,567.83 ",20%
"Alamance County, North Carolina",Alamance County, North Carolina,2013,"$66,850.00 ","$1,213.00 ","$5,570.83 ",22%
"Stanly County, North Carolina",Stanly County, North Carolina,2014,"$66,851.00 ","$1,175.00 ","$5,570.92 ",21%
"McCormick County, South Carolina",McCormick County, South Carolina,2018,"$66,857.00 ","$1,179.00 ","$5,571.42 ",21%
"Pickens County, South Carolina",Pickens County, South Carolina,2015,"$66,864.00 ","$1,049.00 ","$5,572.00 ",19%
"Watauga County, North Carolina",Watauga County, North Carolina,2013,"$66,865.00 ","$1,311.00 ","$5,572.08 ",24%
"Henderson County, North Carolina",Henderson County, North Carolina,2011,"$66,906.00 ","$1,245.00 ","$5,575.50 ",22%
"Spartanburg County, South Carolina",Spartanburg County, South Carolina,2016,"$66,920.00 ","$1,055.00 ","$5,576.67 ",19%
"Newberry County, South Carolina",Newberry County, South Carolina,2015,"$66,940.00 ","$1,044.00 ","$5,578.33 ",19%
"Watauga County, North Carolina",Watauga County, North Carolina,2014,"$66,949.00 ","$1,307.00 ","$5,579.08 ",23%
"Gates County, North Carolina",Gates County, North Carolina,2015,"$66,975.00 ","$1,254.00 ","$5,581.25 ",22%
"Pitt County, North Carolina",Pitt County, North Carolina,2010,"$67,060.00 ","$1,195.00 ","$5,588.33 ",21%
"Aiken County, South Carolina",Aiken County, South Carolina,2013,"$67,065.00 ","$1,110.00 ","$5,588.75 ",20%
